t|b
Montreux 百 事 利 招 实习生|Montreux 百 事 利 招收 2 名 酒店 管理 实习生 ， 7 月 中 开始 实习 有意者 发送 CV 到 restobasilic@hotmail.com
伯尔尼 中餐 招 楼面|" 本 帖 最后 由 LOAH168 于 2012-6-2822:02 编辑
7 月 开始 ， 要求 会 德语 有 证件 ， 有意者 电话 联系 ， 0765220384 ， 谢谢 。 "
找 楼面|本人 需要 一个 会 法语 好 的 楼面 ， 勤快 人品 好 的 ， 男女 不限 。 年龄 不 限 。 关键 要 法语 好 ， 工资 面议 。 有意者 请 回帖 。
moudon 中国 餐馆|" 本 帖 最后 由 浪漫 天使 于 2012-7-720:02 编辑
找 大厨 ， 帮厨 ， 服务员 ， 各 一 名 ， 具体 情况 电话 谈 。 电话 ： 0792108042 "
7 月 17 日 苏黎世 招聘 德语 翻译 一 名|" 本 帖 最后 由 汉升 旅游 于 2012-7-1423:37 编辑 现 招 一 名 德中 翻译 一 名 男女 不限 工作 任务 及 要求 ： 陪同 一个 上海 的 公务 团 参观 瑞士 一 所 学校 ， 进行 翻译 工作 ， 翻译 内容 是 关于 建筑 与 教育 类 ； 要求 德语 流利 ， 相关 专业 最 好 ， 其他 也 可 申请 。 工作 地点 ： 苏黎世 工作 时间 ： 2012 年 7 月 17 日 ， 周二 上午 9 点 到 10 点 工资 ： 100 欧元 联系 方式 ： 0049-221-79407963 Email : xh.li @eutravel4u.com
感 兴趣 的 同学 可以 发 个 德 中 的 简单 自我 介绍 简历 ， 留下 联系 方式 ， 我们 尽快 跟您 联系 ！ 欢迎 踊跃 参加 "
苏黎世 招 打杂 一 位|苏黎世 招 厨房 打杂 一个 ， 要求 会 基本 炒饭 炒面 。 电话 0765877188
苏黎世 酒 吧 卡拉 OK 招 女 实习生 8 月 开始|如 题 请 联系 我 电话 0444013350 手机 0763021899
已 找到 封 帖 了 ， 急聘 替工 楼面|" 本 帖 最后 由 bonni 于 2012-7-1008:36 编辑
日内瓦 中餐馆 现 急需 一 名 替工 楼面 ， 要求 不 高 ， 无 证 也 可 ， 只 需 收盘 洗碟 即 可 ， 男女 不限 ， 全职 ， 休息日 或者 薪资 请 单独 面议 。 希望 有意者 在 午后 3 点 拨 打电话 ------0227326868 "
招聘 保姆 ( < 苏黎世 )|" 帮 人 代 发 帖子
需求 一 位 保姆 最 好 能 长期 做主 要 是 带 孩子 和 一些 简单 的 家务 及 给 孩子 准备 饭 离 苏黎世 火车站 大概 20 分钟 的 车程
有 兴趣 的 请 站 内 联系 "
删 帖|" 本 帖 最后 由 xujun0813 于 2012-7-700:06 编辑
以 招到 大厨 ， 谢谢 大家 "
中餐馆 招 洗 碗 工 一 名 洗碗 打 杂工|" 中餐馆 招 洗 碗 工 一 名 洗碗 打 杂工
有意者 请 致电 ： 0767890734 "
日内瓦 招 中文 女 教师|hei ! 日内瓦 的 Spell Languages 语言 学校 找 一个 女生 教 小孩子 中文 。 从 9 月 低 开始 每 周四 下午 16h15 在 Tronex 的 Salle de Comune. 价钱 是 每 课 36 CHF 。 只要 女生 哦 ° 感 兴趣 的 尽快 跟 我 联系 ° 我 的 QQ 是 308081709
招聘 兼职 中文 教师 信息|我 在 招聘 网上 看到 这个 招聘 信息 好久 了 ， 今天 更新 了 ， 说明 没 找到 合适 的 人 ， 如果 谁 在 国内 任职 过 中文 或者 英文 老师 的 ， 不妨 去 试试 。 http : //www.jobs.ch / de/job.php ? iid = 4473500
寻 住家 保姆|" 寻求 有 经验 的 住家 保姆 ， 能够 带 2 个 男孩 ， 一个 2 岁 ， 一个 5 个 月 。 一 周 休息 一 天 半 ， 薪金 面议 。 要求 有 责任心 ， 耐心 ， 爱 干净 。 地点 在 离 montreux 开车 15 分钟 。
有意者 电话 联系 0763376668 。 "
Wettingen 中医 诊所 诚聘 助理 兼 德语 翻译|" 本 帖 最后 由 lxz 210 于 2012-6-1218:52 编辑
中医 诊所 诚聘 助理 兼 德语 翻译 40% -60% 。
工作 地点 ： Wettingen ( AG )
德语 流利 , 熟悉 电脑 操作 , 工作 敬业 负责 ， 有 经验 者 优先 考虑 。
有意者 请 寄 简历 到 info@tcmzentao.ch
Tel : 07628 38788"
德语区 中医 诊所 诚聘 助理 兼 德语 翻译|" 工作 地点 ： Langenthal
工作 敬业 负责 ， 有 经验 者 优先 考虑 。
有意者 请 寄 简历 到 jiu25@163 .com"
洛桑 OUCHY 中国 妈妈 找 babysitter|" 本人 诚 求 有 经验 的 babysitter 一 名 , 每周 三 至 四 次 , 7-8 月 间 . 主要 工作 是 与 我 和 孩子 们 一起 出去 散步 , 或者 是 在 家里 和 我 的 两 个 3 岁 半 和 2 岁 的 孩子 们 玩儿 .
有意者 请 简单 介绍 您 的 情况 , 工资 要求 , 时间 要求 , 请 寄 cecile_ france@hotmail.fr
谢谢
cecile"
巴黎 旅游 公司 长期 招聘 Val-de-Travers 翻译|" 本 帖 最后 由 eht009 于 2012-6-1516:40 编辑
巴黎 旅游 公司 长期 招聘 Val-de-Travers 翻译 ( 法语 翻译 )
能力 优秀者 长期 合作
有 兴趣 者 发 中英文 简历 到 eht009@hotmail.com
联系人 Vincent"
找 厨师 和 有 经验 的 帮厨|" 本 帖 最后 由 computer 于 2012-5-500:09 编辑
找 厨师 和 有 经验 的 帮厨 ， 0788677073"
无 vgffff|待遇 如何
洛桑|" 本 帖 最后 由 浪漫 天使 于 2012-7-211:55 编辑
洛桑 中国 商店 ， 招 长期 男 杂工 一 名 ， 有意者 留言 ， 禁止 无聊 人士 。 "
求 短期 德语 翻译 2 小时 100 欧|" 大家 好 ， 我 是 欧 中 贸促会 孙丽 我们 主要 办理 国内 政府 官员 出国考察 的 我 现在 有 个 团 跟 达沃斯 旅游局 有 场 公务 会议 ， 需要 一个 翻译 时间 是 6 月 21 号 下午 17--19:00 费用 两 个 小时 100 欧元 ， 具体 地址 是 ： Rathaus ( Town Hall ) , 1.Floor , Berglistutz 1 , 7270 Davos Platz ， 德语 可以 交流 就 可以 ， 翻译 结束 后 当场 付 翻译 费用 有 哪位 同学 朋友 感 兴趣 可以 联系 我 哦 ， 我 的 qq 是 18751963531 手机 18751963531
转 帖 请 勿 短 消息 我 ！ "
（ 沃州 ） 诚聘 住家 保姆|" 替 友 发帖 。
沃州 ， 诚聘 一 位 有 经验 的 朋友 帮忙 照顾 一个 两 个 月 大 的 婴儿 ， 包 食宿 。 要求 有 爱心 和 责任心 ， 有 照顾 婴儿 经验 。
如果 有 感 兴趣 的 朋友 ， 请 回复 本贴 或 发 站 内 信 ， 具体 薪资 视 经验 可 商议 。 谢谢 ！ "
7 月 24 日 Binningen ( Basel 旁边 ) 寻 德语 公务 翻译 一 名|" 本 帖 最后 由 windbird1949 于 2012-7-314:34 编辑
7 月 24 日 Binningen ( Basel 旁边 ) 寻 公务 翻译 一 名 ， 德语 ， 中文
时间 ： 10 点 至 12 点 ，
地点 ： Binningen ( Basel 旁边 )
酬金 ： 120 欧元
有意者 请 联系 ：
E-Mail : windbird1949@ googlemail.com
手机 ： 0049 ( 德国 ) 17699003808
谢谢 "
找 兼职 保姆 ， 在 洛桑 ， 看 2 岁 男孩 。|在 洛桑 ， 每周 2 到 3 天
洛桑|" 本 帖 最后 由 浪漫 天使 于 2012-7-211:56 编辑
洛桑 中国 商店 ， 招 长期 男 杂工 一 名 ， 有意者 留言 ， 禁止 无聊 人士 。 "
翻译 已 找到 ， 谢谢 关注 ， 6 月 26 日 因 特拉 肯 市 寻 公务 翻译 ,|" 本 帖 最后 由 windbird1949 于 2012-6-1309:54 编辑
6 月 26 日 因 特拉肯市 ( Interlaken ) 寻 公务 翻译 一 名
时间 ： 9 点 30 至 11 点 30 ，
地点 ： 因 特拉肯市 ( Interlaken )
酬金 ： 120 欧元 翻译 已 找到 ， 谢谢 关注 ， "
洛桑|" 本 帖 最后 由 浪漫 天使 于 2012-7-211:56 编辑
洛桑 中国 商店 ， 招 长期 男 杂工 一 名 ， 有意者 留言 ， 禁止 无聊 人士 。 "
洛桑|洛桑 中国 商店 ， 招 长期 男 杂工 一 名 ， 有意者 留言 ， 禁止 无聊 人士 。
中国 商店|" 本 帖 最后 由 浪漫 天使 于 2012-6-600:42 编辑
招 长期 男 杂工 一 名 ， 有意者 留言 。 "
招聘 大厨|帮 朋友 找 一个 会 做 泰国 菜 的 大厨 ， 手艺 好 的 话 ， 待遇 优惠 。 如 有请 发帖 。
急需 楼面|日内瓦 一 中餐馆 需要 一 名 实习 楼面 ， 要求 有 permit , 包 吃 ， 有 提供 住宿 但 房租 自 付 ， 希望 有意者 请 留下 联系 方式 ， 我们 会 及时 与 您 联系 的 。
招聘 实习 楼面|" 日内瓦 一 中餐馆 需要 实习 楼面 一 名 ， 男女 不限 ， 要求 要 有 学生 permit , 英语 流利 ， 会 一点 基本 的 法语 更 好 ， 酒店 管理 的 学生 最佳 ， 实习 时间 从 2012 年 7 月 初 开始 ，
地址 是 10 ， rue du cendrier 1201 Geneve , 在 MANOR 附近
如 有 意向 ， 请 直接 到 餐厅 面试 ， 无 需 投递 CV 。 "
卢塞恩 七八月 招 一 中文 儿童 教师 兼职|" 七月 上旬 到 八月 上旬 ， 教 一 位 7 岁 的 小 女孩 读写 ， 已 有 中文 基础 。 每周 约 一两 次 。
爱 小孩 、 有 经验 的 有意者 请 先 发 邮件 至 eve.zeng.nbc@ gmail.com
谢谢 "
服务员 已 找到|" 本 帖 最后 由 visclou 于 2012-6-1321:46 编辑
谢谢 大家 的 关注 ， 下次 再 联系 。 "
封 帖 了 ， 已经 找到 了 。 急聘 保姆|" 本 帖 最后 由 bonni 于 2012-5-3123:24 编辑
现 急需 一 位 有 经验 的 保姆 ， 照顾 一个 2 岁 的 小 女孩 ， 孩子 每周一 至 周五 早上 8 点 送 托儿所 ， 傍晚 5 点 接 回家 ， 需要 一 位 有 爱心 和 耐心 的 保姆 ， 晚上 陪 孩子 入睡 ， 偶尔 做饭 给 孩子 吃 ， 白天 孩子 上学 期间 ， 时间 可以 自由 支配 ， 只 需 定时 做 一些 家务 亲 扫 ， 每周 周日 休假 一 天 ， 地点 在 日内瓦市 中心 ， 包 食宿 ， 工资 面议 ， 有 经验 的 人 优先 ， 有意者 请 联系 079321 3218 "
删|本 帖 最后 由 bienemayau 于 2012-6-1000:49 编辑 。 。 。 。 。
封 贴了 ， 已 找到 人 . 楼面 洗 碗|" 本 帖 最后 由 易 易于 2012-6-61 4:34 编辑
帮 友 发贴
aigle 餐馆 现 招 女 楼面 一 名 洗碗 工 一 名 另 代 友 招 会 法语 , 有 多年 工作 经验 , 可 独立 工作 的 男 楼面 一 名 . 联系 电话 0765837168 "
7 月份 找 一个 月 临时 楼面|" 本 帖 最后 由 suissesion 于 2012-5-2523:59 编辑
代 中餐 老板 6 月 底 到 7 月份 底 找 一个 临时 楼面 替工 上 一个 月 班 要求 法语 熟练 待遇 问题 自己 找 老板 谈 地点 sion 电话 07628 33701 早上 11 点 之前 和 晚上 12 点 之后勿扰 "
苏黎世 地区 找 说 中文 阿姨 （ 代 朋友 转发 ）|"i am interested in it.
have already sent email.but still no response.
this is my email address : viviins 1987@ gmail.com
dont hesitate to contact me anytime."
招聘 伯尔尼 公务 翻译|" 本 帖 最后 由 glenn001 于 2012-9-223:51 编辑
招 伯尔尼 税务 方面 公务 德语翻译 ， 5 月 25 日 早 10:00 至 12:00 ， 费用 面谈 "
餐厅 找 厨师|LUZERN WILLISAU 找 有 经验 中餐 厨师 一 名 ， 有意者 联系 0788890042 陈
0|" 本 帖 最后 由 瑞士 巡警 于 2012-5-1900:17 编辑
0"
洛桑 厨房 招人 ! 已经 找到 谢谢 大家|" 本 帖 最后 由 lam 于 2012-5-1710:54 编辑
- "
中餐馆 招收 洗碗 工|" 中餐馆 招 洗 碗 工 一 名 洗碗 打 杂工
有意者 请 致电 ： 0767890734 "
|
招 女 按摩师|苏黎世 机场 附近 的 中医 诊所 招 有 经验 的 女 按摩师 ， 有意者 请电 0763838168
苏黎世 日本 餐厅 招 楼面 一 名 [ 7 月 及 8 月 ]|" 本 帖 最后 由 yaner1015 于 2012-5-423:18 编辑
苏黎世 日本 餐厅 现 招 楼面 一 名 , 时间 是 今年 7 月 和 8 月 两 个 月 .
待遇 面谈 , 可 做 part-time 也 可 做 full-time , 可 商议 .
要求 会 基本 餐厅 德语
有意者 请在 [ 周 一 至 周五 早 上 10:30--13:30 ; 晚上 17:00--21:00 ] 致电 0433448929 [ 来电 请 先 找 Frau Feng ]
谢谢 "
找 瑞士 当地 导游 ， 可 接受 支付 宝 付款 方式|每天 多少 报酬 啊 ？
诚聘 学生|您好 我 是 SHMS 2 年级 学生 请问 贵 餐馆 有 什么 要求 么 是 service 还是 kitchen
日内瓦 旅行社 6 月 实习 机会 Internship in Geneva- 已招|" 本 帖 最后 由 小 翠 于 2012-5-1104:47 编辑
Dear Students ,
With great pleasure to announce an offer for internship position in our travel agency in Geneva.
We would like to recruit a well-qualified internship student in our office in Geneva :
Start date : June , 2012
Duration of internship : 6 months
The required profile need for interns :
Student FEMALE
Mothertongue is Chinese
Fluent speaking in English
Well knowledged in infomation tecniches , such as Word , E-Mail , Internet Surf.
Responsable , serious applied in work
Capaity of communication , team work
We could offer :
Provide a variety , dynamic and cordial working environment in office.
Monthly salay 2168 CHF
To be provided full assistance for finding accommodations.
We thank you in advance for all your cooperation and support.
Please send your reply with CV to : info@sunlightact.com
Best regards , "
人 已 找到 谢谢 大家|" 本 帖 最后 由 sallyleo0726 于 2012-5-1121:35 编辑
人 已 找到 ， 谢谢 大家 。 "
找 保姆 !|家 有 小孩 3 个 月 想 找 保姆 一 名 要求 有 责任心 和 爱心 有意 着 可 打电话 0767658764 QQ 1091467394 非 诚 勿 扰
急聘 fribourg 弗里堡 11 日 早 简单 公务 翻译|你 妹 的 。 。 。 2013 年 4 月 么 ？ 你 船票 买 好 了 ？
找 楼面|" 找 楼面 ， 会讲 基本 法语 ， 有証 ， 學生 也 行 ， fulltime or parttime ,
請電 02 13 127989 面議 。 。 謝謝 "
寻找 实习生|Nyon 中餐馆 招 一 名 男生 实习 做 厨房 ， 6 月 可 开始 ， 有 兴趣 的 可以 联系 0223622562 陈 老板 。
montreux 附近 餐馆 找人|" 希望 找 一 名 楼面 ， 会讲 法语 。 工作 时间 在 晚上 17 点半 到 21 点半 。
有 兴趣 的 朋友 可以 来电 ， 0788786683 "
洛桑 找 一 位 楼面 ( 已 找到 . 谢谢 ）|" 本 帖 最后 由 lam 于 2012-5-81 3:35 编辑
- "
招聘 楼面 洛桑 【 已 招聘 到 人 】 谢谢|" 本 帖 最后 由 xiaoyan 于 2012-5-315:57 编辑
餐馆 位置 在 洛桑 ， 条件 要求 有 证 【 最好 是 学生证 】 ， 不 会 做 也 没关系 ， 工资 面谈 ， 有意 联系 方式 ： 0765966345 迪迪 ， qq ： 54067 3981 备注 找工作 "
找 一个 只 做 周末 的 服务员|找 一 位 就 做 星期五 到 星期日 的 服务 生 . 要 有 工作 经验 和 法语 . 电话 0765591588
中餐 找 酒 管 实习生 已 找到|" 本 帖 最后 由 visclou 于 2012-5-2020:20 编辑
谢谢 大家 ， 酒 管 实习生 已 找到 "
工作 信息 ， 英文 好 的 ， 去 试试 。 。 。|" JinkoSolar ( Switzerland ) AGjobs.ch - Personal Assistant to the Chief Marketing Officer ( CMO ) ( Chinese/English ) , 43 47226
JinkoSolar Holding Co. , Ltd. ( NYSE Stock Code : JKS ) is one of the few PV manufacturers that has 1.5 GW capacity in 2011 with a vertically integrated model , producing high quality crystalline ingots , wafers , cells , and mono-and multi-crystalline PV panels.Our full control over the production chain allows us to guarantee the highest quality for our products and a much more efficient cost structure.With these competitive advantages , we are able to pass benefits on to our customers around the world.For our European Headquarter in Zug , we are currently looking for a
Personal Assistant to the Chief Marketing Officer ( CMO ) ( Chinese/English ) Purpose of the position :
The Personal Assistant will assist the CMO in all administrative tasks and support him in managing his challenging agenda as well as in a wide range of organizational and administrative tasks.Furthermore , the Personal Assistant acts as coordinator between the different business locations , departments and headquarters in China and must be able to translate from/to Chinese/English ( written/verbally ) .A more detailed description can be found below : Responsibilities : Managing the CMO ’ s agenda , arrange meetings , conference calls and travel schedules on an international levelManaging the CMO ’ s travel arrangements , ticket and hotel bookingsFiltering emails while demonstrating the ability to prioritizeHandling the CMO ’ s expense and reimbursement claimsDealing with the translation from/to Chinese/English ( written/verbally ) for the CMO including emails , conference call , daily meetings and daily personal life when he is in China and SwitzerlandActing as coordinator between the CMO and other internal departments as well as external partiesHandling the daily administrative support for the CMOShow discretion regarding highly confidential information and documentsRequirements : Commercial education or BASeveral years of experience in similar position in an international environmentAble to execute translation from/to Chinese/English in writing and verbally during conference callsStrong communication skills , ability to communicate with all levelsHighly organized , reliable , able to multi-task and ability to work under pressurePro-active , committed , dynamic , self-motivated and able to work independentlySolid knowledge of MS Office and OutlookStrong team playerAble to travel from time to timeAccounting skills are desirableFluent in Chinese and English ( proficiency level ) is a mustAny other European language , especially German , are an advantageAre you seeking an exciting opportunity in a fast growing company within the renewable energy market ? Then please send your complete application file , including your salary expectations and possible start date , via e-mail to vivien.chen@ jinkosolar.com.Applications through agencies will not be accepted.
JinkoSolar ( Switzerland ) AG
Ms Vivien Chen
HR&Admin Specialist
Chamerstrasse 85
6300 Zug
+ 41417480010 "
洛桑 中餐馆 招 楼面|位于 洛桑 郊区 ， 现 招 楼面 ， 包 吃 不 包住 ， 电话 078300 1986
想 找 一 名 厨房 帮厨|大家 好 ， 餐厅 在 洛桑 附近 ， 如 题 所 示 ， 咱 中餐厅 想 找 位 帮厨 ， 希望 是 位 脾气 随和 ， 有 基本 厨房 日常 工作 经验 ， 懂 切 菜 ， 肉 ， 炸 油 炉 岗位 工作等 ， 注重 厨房 卫生 清洁 。 具体 报酬 细谈 ， 是 本着 大家 都 要 满意 的 初衷 。 请 感 兴趣 的 朋友 和 我 联系 吧 。 visclou@ yahoo.com
找 洗碗 打杂|找 洗 碗 打杂 一 名 , 包 吃 住 , 0763662628
Lausanne 招聘 楼面|" 本 帖 最后 由 xiaoyan 于 2012-4-323:50 编辑
餐馆 在 洛桑 ， 要求 有 证 ， 最好 是 学生证 ， 没有 经验 无所谓 ， 工资 面谈 ， 联系 方式 ： 0765966345 迪迪 ， 谢谢 大家 。 "
招聘 La Chaux-de-Fonds 翻译|" 本 公司 长期 招聘 La Chaux-de-Fonds 地区 法语 及 英语 翻译 ， 主要 负责 公务 活动 的 翻译 工作 。
有意者 请将 个人 简历 发 至 Violaine
联系 方式 ： eht009@hotmail.com
法语 优先 ， 报酬 详谈 "
法语 区 餐馆 急 招 楼面 一 名|大家 好 ， 我们 的 餐馆 在 法语 区 Neuchatel 州 ， 靠近 湖边 ， 现在 需要 招聘 兼职 楼面 一 名 ， 上班 时间 可以 商量 ， 但是 希望 是 在 周五 至 周 天 之间 ， 请 尽快 联系 我们 0764509322 谢谢 ！
餐馆 请人|苏黎世 餐馆 请 厨房 帮厨 一 名 。 电话 0765877188
招聘 parttime|我 在 洛桑 , 请问 找到 人 了 没 ? 还有 你 要 请 的 人 时间段 是 什么 时候 ? 我 会 英文 和 法文 交流
商务 旅游 公司 招聘 日内瓦 ， 苏黎世 ， 伯尔尼 ， 巴塞尔 ， 洛桑 地区 公务 翻译|" 因 业务 扩展 需求 ， 本 公司 招聘 在 日内瓦 ， 苏黎世 ， 伯尔尼 ， 巴塞尔 ， 洛桑 地区 翻译 .
本 公司 长期 招聘 法语 及 英语 翻译 . 法语 优先 .
主要 负责 公务 活动 的 翻译 工作 。 能力 优秀者 长期 合作 .
有意者 请将 个人 简历 发 至 Violaine
联系 方式 ： eht009@hotmail.com
报酬 详谈 "
苏黎世 招 住家 保姆 （ 已经 找到 了 ， 谢谢 各位 的 热心 捧场 ）|" 本 帖 最后 由 卡门 于 2012-4-2311:55 编辑
我 儿子 快 5 岁 ， 家里 的 阿姨 5 月 底 要 离开 2 周 ， 所以 想 找人 暂时 顶 工 或是 长工 都 行 ， 详情 请 来电 咨询 ！ 0763838168 "
法语 区 招聘 楼面 一 名|【 Neuchatel 】 附近 招聘 女 楼面 一 名 ， 具体 相关 事宜 请 联系 电话 0764509322 ， 谢谢 !
寻找 能 煮 的 朋友 ! ( 圣加伦区 )|寻找 一 位 能 做 糕点 或 简单 早 点 的 朋友 ， 将 在 圣加伦区 办 个 小 聚会 ， 大约 ５０ 个 欧洲 人 ， 所以 西方 Sandwich 也 行 。 请 发 短 信 如 有 兴趣 。 Budget 不 高 ， 将 与 地方 的 Bakery 价钱 比较 ， 所以 对 业余者 较 有 兴趣 .
找人 搬家 ( 圣 加伦 )|现 正 寻 一个 有 大车 的 朋友 ， 须 把 Studio 从 圣加伦 搬 到 洛桑 ， 下 个 星期 ， 如 有 兴趣 请 联系 .
找 有 欧盟 护照 的 厨师 和 帮厨|" 找 有 欧盟 护照 的 厨师 和 帮厨 ， 德 区 。
联系 电话 078 704 6576"
找 保姆 封 帖 啦 各位 谢谢|" 本 帖 最后 由 筱菡 于 2012-4-2101:57 编辑
本人 小孩 3 个 多 月 想 找 个 保姆 半 天全 天 都 可以 站 内 联系 谢谢 "
中医 诊所 诚聘 助理 兼 德语 翻译|" 本 帖 最后 由 lxz 210 于 2012-4-2308:41 编辑
Wettingen ( AG ) 中医 诊所 诚聘 助理 兼 德语 翻译 40% -60% 。
德语 流利 , 熟悉 电脑 操作 , 工作 敬业 负责 。
有 经验 者 优先 考虑 。
有意者 请 寄 简历 到 zacharyli2010@ gmail.com
Tel : 07628 38788"
|
招 科班 点心 师傅 和 川菜 师傅|苏黎世 招 科班 点心 师傅 和 川菜 师傅 ， 本 餐馆 重新 定位 现 需要 以上 厨师 两 位 ， 待遇 面议 ， 请 致电 044 2014490. （ 请在 下午 2 点 到 5 点 这 段 时间 ） 谢谢 ！
Montreux 中餐馆 诚聘 大 厨|Montreux 中餐馆 诚聘 大厨 ， 需要 多年 大厨 经验 ， 厨师 学校 科班 毕业 ， 待遇 面谈 ， 有意者 请 联系 0219630646
已经 找到 服务员 徐 家面 火车站 店|" 本 帖 最后 由 XIAOHEZI 于 2012-3-2814:48 编辑
如 题 ， 招聘 服务员 ， 男女 不限 ， 具体 要求 和 工资 待遇 ， 欢迎 来电 咨询 、 直接 到 店 里 咨询 或 递交 简历 。 来电 请于 周 一 至 周五 早 11 点 至 下午 14 点 ， 找 madame amy. 讲 中文 即 可 。 ☎ 021 3207268 。 谢谢 大家 ！ "
招聘 女 楼面 一 名|" 本 帖 最后 由 sky.wei 于 2012-3-2301:25 编辑
【 Neuchatel 】 附近 招聘 女 楼面 一 名 ， 请 联系 电话 076627 3772 ， 谢谢 ! "
找 短期 工|找 零工 ， 有点 体力 ， 整理 ， 搬运 点 货物 ， 时间 是 3 月 23 , 24 , 2627 ， 工作 时间 早上 9 点 30 到 12 点 30 ， 下午 1 点 30 到 6 点 30 , 工资 4 天 300 瑞郎 。 有意 请 联系 0788818190 或 0763368190.
招聘 楼面 【 已经 找到 谢谢 】|" 本 帖 最后 由 xiaoyan 于 2012-3-2201:38 编辑
本店 在 lausanne 想 找 一 名 学生 ， 必须 要 有 身份 ， 是 餐馆 服务员 ， 男女 不 限 . 联系 号码 是 076728 1453 庄 小姐 。 非诚勿扰 "
法区 餐厅 寻 洗 碗 工 或 帮 厨|餐厅 位于 vevey , 现 寻 一 名 洗 碗 工 , 可 包 吃 住 , 有意者 请 电联 0765852599 李 先生
找 帮 厨 或 厨师|" 如 题 ， 找 帮 厨 或 厨师 ， 德区 ， 提供 吃 住 。
要求 ： 有 相应 的 工作 经验 ， 有 欧盟 护照 。
可 帮忙 申请 证件 。 请 站 内 短 信 联系 。 "
Montreux 餐厅 诚聘 韩 餐 厨师|Montreux 餐厅 诚聘 韩 餐 厨师 ， 条件 面谈 ， 有意者 请 联系 0219630646
代友 发帖 ： Lachen 母亲 找 中文 幼儿 家教|" 本 帖 最后 由 lauffenburger 于 2012-3-1214:56 编辑
代友 发帖 。
孩子 两 岁 ， 刚 学会 说话 。 妈妈 需要 一 位 中文 私 教 ， 陪 孩子 说 中文 。
每周 一 到 两 次 ， 每次 2-3 个 小时 。
薪酬 ： 25 CHF/ 小时 。 报销 往返 路费 。
有意者 请 联系 ： kattyjoha@yahoo.com
谢谢 ～ ～
说明 一下 ： 发 邮件 请 用 西班牙文 ， 英文 或 德文 。
孩子 妈妈 是 外国人 。 "
餐馆 找 实习生|餐馆 找 实习生 ， 可以 马上 开工 ， 要求 会 德语 ， 联系 电话 07888900 42
招聘 楼面 一 名|" 本 帖 最后 由 sky.wei 于 2012-3-1500:59 编辑
招聘 女 楼面 一 名 ， 具体 事宜 请 联系 电话 0764509322
已 招到 人 ！ http : //udisk.czkdw.com/myfile/28 1291745/dj2/cmp.swf"
洛桑 中餐厅 招收 实习生|如 题 ， 男女 不限 ， 只要 有 证 的 ， 周末 做 partime 也 可以 ， 联系 电话 0763589720 施 女士
厨房 找 帮 或 厨师|" 本 帖 最后 由 restaurant 于 2012-3-1120:42 编辑
厨房 找 有 经验 的 帮 厨 或 厨师 ， 包 吃 住 ， 工资 面谈 。
0786146768 "
餐厅 招收 实习生|" 本 帖 最后 由 Rick 于 2012-2-2501:24 编辑
帮 朋友 发帖 ， 餐厅 招收 实习生 ， 男女 不限 。 工作 地 点在 thun ， 有意者 站 内 短 信 联系 "
想 找 一 名 女服 务生|大家 好 ， 此 中餐厅 在 ＶＥＶＥＹ 附近 ， ４月份 开始 ， 我们 想 找 一 名 女服 务生 ， 最好 是 有 足够 能 在 楼面 独当一面 的 经验 和 能力 ， 包 吃 住 ， 报酬 一定 做到 大家 都 满意 ， 具体 详情 最 好 面对面 谈妥 ， 有 果 你 有 兴趣 的话 ， 就 联系 我 吧 。 谢谢 大家 。 ｖｉｓｃｌｏｕ @ ｙａｈｏｏ . ｃｏｍ
洛桑餐馆 ， 招聘|" 洛桑餐馆 ， 招聘
服务员 一 名 ， 要求 会 法语 ， 有 证件 优先
日本 料理 厨师 一 名 ， 有 证件 优先
请 ， 联系 0794353955 "
餐馆 招 楼面|Aigle 中餐馆 招 楼面 一 名 , 要求 法语 流利 , 有 多年 工作 经验 , 可以 独立 接待 客人 . 详情 请 致电 : 0763 277168 详 谈
人 已 找到 谢谢|" 本 帖 最后 由 lam 于 2012-3-411:55 编辑
( s2124a ) "
在 巴塞儿 或 住 附近 的 蚂蚁 可以 考虑 看看|" 今天 在 报纸 上 看到 这个 小 招聘 . 发上 来 , 或许 有 兴趣 的 蚂蚁 可以 去 试试 . 应该 会 是 个 不错 的 机会 ( s2148a )
Baselworld : Chinesische/r Student/in f ü r Schmuckmesse Basel gesucht.Muttersprache Mandarin.F ü r unseren Messestand f ü r die Zeit vom 8.bis 12.0 3.2012 , 9Uhr bis 18 Uhr.Anfragen bitte an info@ koehle.com , Tel.00 49-7231-600214 www.koehle.com"
找个 实习 的 学生|" 德区 找个 实习 的 学生 。
请 联系 ０７８ ７０４ ６５７６ "
[ Wanted ] A Man& Van|" 急需 搬 一 双人床 和 两 床垫 ， 不知 有人 能 协助 。 我 愿意 付 100 CHF 每 小时 ， 在 Zurich 10 区 ， 大概 6 公里 距离 。
如 有请 联系 ， 0786258372 "
